Generation,Max Distance,Min Distance,Total Distance
301,122,0,1274376
302,122,0,1278566
303,122,0,1282862
304,122,0,1287150
305,122,0,1291126
306,122,0,1294904
307,122,0,1298814
308,122,0,1302847
309,122,0,1306929
310,122,0,1311109
311,122,0,1315665
312,122,0,1319591
313,122,0,1323810
314,122,0,1328055
315,140,0,1332534
316,140,0,1336802
317,140,0,1341123
318,140,0,1345069
319,140,0,1349366
320,140,0,1353294
321,140,0,1357686
322,140,0,1361912
323,140,0,1366706
324,140,0,1371170
325,140,0,1375826
326,140,0,1379915
327,140,0,1383981
328,140,0,1388423
329,140,0,1392569
330,140,0,1397187
331,140,0,1401431
332,140,0,1406120
333,140,0,1410575
334,140,0,1415053
335,140,0,1419930
336,140,0,1424072
337,140,0,1428837
338,140,0,1433263
339,140,0,1437570
340,140,0,1442376
341,140,0,1446380
342,140,0,1451155
343,140,0,1455863
344,140,0,1460615
345,140,0,1465141
346,140,0,1469973
347,140,0,1474684
348,140,0,1479417
349,140,0,1484340
350,140,0,1489103
351,140,0,1493691
352,140,0,1498426
353,140,0,1502978
354,140,0,1507166
355,140,0,1511967
356,140,0,1516367
357,140,0,1520950
358,140,0,1525309
359,140,0,1529901
360,140,0,1534237
361,140,0,1538628
362,140,0,1543282
363,140,0,1547815
364,140,0,1552546
365,140,0,1556891
366,140,0,1561809
367,140,0,1566225
368,140,0,1570858
369,140,0,1575283
370,140,0,1580184
371,140,0,1584549
372,140,0,1588812
373,140,0,1593823
374,140,0,1598393
375,140,0,1603382
376,140,0,1607720
377,140,0,1612349
378,140,0,1617189
379,140,0,1621714
380,140,0,1626011
381,140,0,1630704
382,140,0,1635530
383,140,0,1640144
384,140,0,1644417
385,140,0,1649120
386,140,0,1653811
387,140,0,1658366
388,140,0,1662874
389,140,0,1667435
390,140,0,1672096
391,140,0,1676365
392,140,0,1680944
393,140,0,1686015
394,140,0,1690469
395,140,0,1694861
396,140,0,1699670
397,140,0,1704179
398,140,0,1708965
399,140,0,1713616
400,140,0,1718018
401,140,0,1722436
402,140,0,1726959
403,140,0,1731717
404,140,0,1736059
405,140,0,1740768
406,140,0,1745330
407,140,0,1750141
408,140,0,1754891
409,140,0,1759667
410,140,0,1764727
411,140,0,1769570
412,140,0,1773886
413,140,0,1778616
414,140,0,1783300
415,140,0,1787785
416,140,0,1792312
417,140,0,1796831
418,140,0,1801371
419,140,0,1806105
420,140,0,1810433
421,140,0,1814627
422,140,0,1819263
423,140,0,1824091
424,140,0,1828803
425,140,0,1833459
426,140,0,1837677
427,140,0,1842122
428,140,0,1846523
429,140,0,1850998
430,140,0,1855095
431,140,0,1860150
432,140,0,1864600
433,140,0,1869370
434,140,0,1874185
435,140,0,1878885
436,140,0,1883506
437,140,0,1888171
438,140,0,1892973
439,140,0,1897459
440,140,0,1901954
441,140,0,1906471
442,140,0,1910797
443,140,0,1915070
444,140,0,1919233
445,140,0,1923807
446,140,0,1928485
